Country,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23
Spain,106.998,103.569,102.283,97.855,96.141,92.998
England,79.605,85.462,90.462,100.569,106.641,109.57
Germany,71.427,71.927,74.784,73.57,75.213,82.481
Italy,76.249,74.725,70.653,75.438,76.902,81.926
Portugal,47.248,48.232,49.449,48.549,53.382,56.216
France,56.415,58.498,59.248,56.081,60.081,61.164
Russia,53.382,50.549,45.449,38.382,34.482,26.215
Ukraine,41.133,38.9,36.1,33.1,31.8,29.5
Belgium,38.5,39.9,37.9,36.5,30.6,42.2
Netherlands,29.749,32.433,35.75,39.2,49.3,59.9
Türkiye,35.8,34.6,33.6,30.1,27.1,32.1
Switzerland,30.2,26.9,26.4,26.225,29.675,31.375
Czechia,30.175,28.675,27.3,26.6,27.8,29.05
Austria,32.85,31.25,32.925,35.825,38.85,34
Scotland,18.625,22.125,27.875,33.375,36.9,36.4